"Date","countriesAndTerritories","cases","popData2018","TotalCases","Millions","PerMillion","PerMillionDay"
2020-05-08,"Afghanistan",171,37172386,3563,37.172386,95.8507210164018,4.60018896823034
2020-05-08,"Albania",10,2866376,842,2.866376,293.750715188796,3.48872583359615
2020-05-08,"Algeria",185,42228429,5182,42.228429,122.713539734097,4.3809349384037
2020-05-08,"Andorra",1,77006,752,0.077006,9765.47282029972,12.9860010908241
2020-05-08,"Angola",0,30809762,36,30.809762,1.16846082744813,0
2020-05-08,"Anguilla",0,NA,3,NA,NA,NA
2020-05-08,"Antigua_and_Barbuda",0,96286,25,0.096286,259.643146459506,0
2020-05-08,"Argentina",163,44494502,5358,44.494502,120.419372263117,3.66337396022547
2020-05-08,"Armenia",102,2951776,2884,2.951776,977.038908101428,34.5554676235595
2020-05-08,"Aruba",0,105845,101,0.105845,954.225518446785,0
2020-05-08,"Australia",21,24992369,6896,24.992369,275.924223109862,0.840256479887921
2020-05-08,"Austria",22,8847037,15673,8.847037,1771.55357211686,2.48670826176041
2020-05-08,"Azerbaijan",77,9942334,2204,9.942334,221.678330259273,7.74466035842288
2020-05-08,"Bahamas",0,385640,92,0.38564,238.564464267192,0
2020-05-08,"Bahrain",265,1569439,4199,1.569439,2675.47830785395,168.850143267754
2020-05-08,"Bangladesh",706,161356039,12425,161.356039,77.003625504218,4.3754172721109
2020-05-08,"Barbados",0,286641,82,0.286641,286.07212506236,0
2020-05-08,"Belarus",913,9485386,20168,9.485386,2126.21816339367,96.2533311770338
2020-05-08,"Belgium",639,11422068,51420,11.422068,4501.81175597974,55.9443351239023
2020-05-08,"Belize",0,383071,18,0.383071,46.9886783390024,0
2020-05-08,"Benin",38,11485048,140,11.485048,12.1897618538468,3.30864964604414
2020-05-08,"Bermuda",0,63968,118,0.063968,1844.67233616808,0
2020-05-08,"Bhutan",0,754394,7,0.754394,9.27897093561189,0
2020-05-08,"Bolivia",195,11353142,2081,11.353142,183.29727576736,17.1758619772394
2020-05-08,"Bonaire, Saint Eustatius and Saba",0,NA,6,NA,NA,NA
2020-05-08,"Bosnia_and_Herzegovina",40,3323929,2027,3.323929,609.820486538672,12.0339513870483
2020-05-08,"Botswana",0,2254126,23,2.254126,10.2035112500366,0
2020-05-08,"Brazil",9888,209469333,135106,209.469333,644.991789800562,47.2050006479946
2020-05-08,"British_Virgin_Islands",0,29802,7,0.029802,234.883564861419,0
2020-05-08,"Brunei_Darussalam",2,428962,141,0.428962,328.700444328402,4.66241765004826
2020-05-08,"Bulgaria",51,7024216,1829,7.024216,260.384931215099,7.26059676980321
2020-05-08,"Burkina_Faso",7,19751535,736,19.751535,37.2629266535487,0.354402835020164
2020-05-08,"Burundi",0,11175378,19,11.175378,1.70016620466887,0
2020-05-08,"Cambodia",0,16249798,122,16.249798,7.50778563524297,0
2020-05-08,"Cameroon",0,25216237,2265,25.216237,89.8230770911615,0
2020-05-08,"Canada",1426,37058856,64922,37.058856,1751.86195709873,38.4793313641414
2020-05-08,"Cape_Verde",27,543767,218,0.543767,400.907006125785,49.6536200247533
2020-05-08,"Cayman_Islands",0,64174,78,0.064174,1215.44550752641,0
2020-05-08,"Central_African_Republic",0,4666377,94,4.666377,20.144107516388,0
2020-05-08,"Chad",83,15477751,253,15.477751,16.346044073199,5.36253619792695
2020-05-08,"Chile",1533,18729160,24581,18.72916,1312.44540598724,81.8509746299354
2020-05-08,"China",6,1392730000,83976,1392.73,60.2959654778744,0.00430808555857919
2020-05-08,"Colombia",497,49648685,9456,49.648685,190.458216567065,10.0103356211751
